Phenotype	Strain	Coefficient	p.value	q.value
perimeter	X135	0.0332658662548849	0.525495853219492	0.900033623769429
perimeter	X140	-0.133512240067307	0.169347585779097	0.722124753917024
perimeter	X161	0.0359383295702255	0.482649054810261	0.900033623769429
perimeter	X162	0.0693775999258127	0.175277600231258	0.722124753917024
perimeter	X2	-0.0616176457464058	0.216918585032716	0.766445667115596
perimeter	X20	-0.021979985910881	0.666613033764393	0.940712738617003
perimeter	X217	0.0705350546830314	0.177124939640025	0.722124753917024
perimeter	X22	0.0419794087959737	0.445929211479929	0.900033623769429
perimeter	X224	-0.098641124367459	0.0569947807423437	0.50345389655737
perimeter	X23	0.0313356139430312	0.531796317642809	0.900033623769429
perimeter	X231	0.0716429706245897	0.15924589010955	0.722124753917024
perimeter	X26	0.0453241874017413	0.375692678891982	0.900033623769429
perimeter	X27	0.0151806249998168	0.767935941051269	0.940712738617003
perimeter	X299	-0.0143039547645943	0.783764850168706	0.940712738617003
perimeter	X3	-0.0157955335831876	0.761240128358243	0.940712738617003
perimeter	X303	0.0445833984533496	0.478128005690501	0.900033623769429
perimeter	X31	-0.0319982328561141	0.5434165275589	0.900033623769429
perimeter	X33	0.0205733864794299	0.698919442312575	0.940712738617003
perimeter	X35	-0.100527419610777	0.0563601952849913	0.50345389655737
perimeter	X351	-0.0570699375106869	0.280222460888684	0.825099468172237
perimeter	X36	-0.0119840301229544	0.818184218618813	0.942690512756459
perimeter	X362	-0.106754343647129	0.0422070442441565	0.50345389655737
perimeter	X376	0.116806444679332	0.0205926096240312	0.43029494339531
perimeter	X384	-0.0574962387781761	0.252151527207348	0.825099468172237
perimeter	X40	-0.0201572209640758	0.699734669941549	0.940712738617003
perimeter	X41	0.00454387113312378	0.9288096316562	0.967581635494494
perimeter	X45	0.0486047201302175	0.355886511562239	0.900033623769429
perimeter	X49	0.0239746747528676	0.630833130203203	0.940712738617003
perimeter	X50	0.0678904093202233	0.192850997115011	0.730078774792542
perimeter	X51	-0.0094362858688129	0.859268560824205	0.967581635494494
perimeter	X57	-0.00703352281980079	0.943972352465895	0.967581635494494
perimeter	X72	0.00688861030019821	0.920963601253553	0.967581635494494
perimeter	X8	-0.0934852881480339	0.072036889067961	0.545422160085991
perimeter	X95	-0.0182471924794111	0.715201680483919	0.940712738617003
perimeter	CL11	-0.0446539611211785	0.393239087083191	0.900033623769429
