green	filename	Strain	Plate	Col	Row	PlateID
144	45.3.col1.row1.jpeg	45	3	col1	row1	45.3
118	45.3.col1.row2.jpeg	45	3	col1	row2	45.3
125.5	45.3.col1.row3.jpeg	45	3	col1	row3	45.3
143	45.3.col2.row1.jpeg	45	3	col2	row1	45.3
144	45.3.col2.row2.jpeg	45	3	col2	row2	45.3
NA	45.3.col2.row3.jpeg	45	3	col2	row3	45.3
146	45.3.col3.row1.jpeg	45	3	col3	row1	45.3
154	45.3.col3.row2.jpeg	45	3	col3	row2	45.3
144	45.3.col3.row3.jpeg	45	3	col3	row3	45.3
132	45.3.col4.row1.jpeg	45	3	col4	row1	45.3
NA	45.3.col4.row2.jpeg	45	3	col4	row2	45.3
149	45.3.col4.row3.jpeg	45	3	col4	row3	45.3
136	45.4.col1.row1.jpeg	45	4	col1	row1	45.4
NA	45.4.col1.row2.jpeg	45	4	col1	row2	45.4
145	45.4.col1.row3.jpeg	45	4	col1	row3	45.4
NA	45.4.col2.row1.jpeg	45	4	col2	row1	45.4
142	45.4.col2.row2.jpeg	45	4	col2	row2	45.4
NA	45.4.col2.row3.jpeg	45	4	col2	row3	45.4
113	45.4.col3.row1.jpeg	45	4	col3	row1	45.4
133.5	45.4.col3.row2.jpeg	45	4	col3	row2	45.4
122	45.4.col3.row3.jpeg	45	4	col3	row3	45.4
113.5	45.4.col4.row1.jpeg	45	4	col4	row1	45.4
110	45.4.col4.row2.jpeg	45	4	col4	row2	45.4
121	45.4.col4.row3.jpeg	45	4	col4	row3	45.4
141	50.1.col1.row1.jpeg	50	1	col1	row1	50.1
141	50.1.col1.row2.jpeg	50	1	col1	row2	50.1
146	50.1.col1.row3.jpeg	50	1	col1	row3	50.1
141	50.1.col2.row1.jpeg	50	1	col2	row1	50.1
124.5	50.1.col2.row2.jpeg	50	1	col2	row2	50.1
135	50.1.col2.row3.jpeg	50	1	col2	row3	50.1
146	50.1.col3.row1.jpeg	50	1	col3	row1	50.1
144	50.1.col3.row2.jpeg	50	1	col3	row2	50.1
NA	50.1.col3.row3.jpeg	50	1	col3	row3	50.1
121	50.1.col4.row1.jpeg	50	1	col4	row1	50.1
144	50.1.col4.row2.jpeg	50	1	col4	row2	50.1
145	50.1.col4.row3.jpeg	50	1	col4	row3	50.1
152	50.2.col1.row1.jpeg	50	2	col1	row1	50.2
146	50.2.col1.row2.jpeg	50	2	col1	row2	50.2
141	50.2.col1.row3.jpeg	50	2	col1	row3	50.2
149	50.2.col2.row1.jpeg	50	2	col2	row1	50.2
129	50.2.col2.row2.jpeg	50	2	col2	row2	50.2
