npixels	filename	Strain	Plate	Col	Row	PlateID	Sticker.size	Normalized.size	Hull.area	Normalized.hull.area
2919	451.4.col4.row2.jpeg	451	4	col4	row2	451.4	1546	1.88809831824062	5715	3.69663648124191
395	451.4.col4.row3.jpeg	451	4	col4	row3	451.4	1546	0.255498059508409	1084	0.701164294954722
480	45.1.col1.row1.jpeg	45	1	col1	row1	45.1	1551	0.309477756286267	1039.5	0.670212765957447
1196	45.1.col1.row2.jpeg	45	1	col1	row2	45.1	1551	0.771115409413282	2462.5	1.58768536428111
990	45.1.col1.row3.jpeg	45	1	col1	row3	45.1	1551	0.638297872340426	2524.5	1.62765957446809
0	45.1.col2.row1.jpeg	45	1	col2	row1	45.1	1551	0	0	0
1313	45.1.col2.row2.jpeg	45	1	col2	row2	45.1	1551	0.846550612508059	3154	2.03352675693101
2	45.1.col2.row3.jpeg	45	1	col2	row3	45.1	1551	0.00128949065119278	328	0.211476466795616
22	45.1.col3.row1.jpeg	45	1	col3	row1	45.1	1551	0.0141843971631206	35.5	0.0228884590586718
0	45.1.col3.row2.jpeg	45	1	col3	row2	45.1	1551	0	0	0
0	45.1.col3.row3.jpeg	45	1	col3	row3	45.1	1551	0	0	0
67	45.1.col4.row1.jpeg	45	1	col4	row1	45.1	1551	0.0431979368149581	143	0.0921985815602837
4	45.1.col4.row2.jpeg	45	1	col4	row2	45.1	1551	0.00257898130238556	513	0.330754352030948
2	45.1.col4.row3.jpeg	45	1	col4	row3	45.1	1551	0.00128949065119278	132	0.0851063829787234
905	45.2.col1.row1.jpeg	45	2	col1	row1	45.2	1545	0.585760517799353	1361	0.880906148867314
0	45.2.col1.row2.jpeg	45	2	col1	row2	45.2	1545	0	0	0
0	45.2.col1.row3.jpeg	45	2	col1	row3	45.2	1545	0	0	0
1405	45.2.col2.row1.jpeg	45	2	col2	row1	45.2	1545	0.909385113268608	2456.5	1.58996763754045
1	45.2.col2.row2.jpeg	45	2	col2	row2	45.2	1545	0.000647249190938511	0	0
3033	45.2.col2.row3.jpeg	45	2	col2	row3	45.2	1545	1.9631067961165	4900	3.17152103559871
245	45.2.col3.row1.jpeg	45	2	col3	row1	45.2	1545	0.158576051779935	462	0.299029126213592
4535	45.2.col3.row2.jpeg	45	2	col3	row2	45.2	1545	2.93527508090615	8780.5	5.6831715210356
1789	45.2.col3.row3.jpeg	45	2	col3	row3	45.2	1545	1.157928802589	2792.5	1.80744336569579
552	45.2.col4.row1.jpeg	45	2	col4	row1	45.2	1545	0.357281553398058	8913	5.76893203883495
3278	45.2.col4.row2.jpeg	45	2	col4	row2	45.2	1545	2.12168284789644	5978	3.86925566343042
1422	45.2.col4.row3.jpeg	45	2	col4	row3	45.2	1545	0.920388349514563	2149	1.39093851132686
633	45.3.col1.row1.jpeg	45	3	col1	row1	45.3	1532	0.413185378590078	1252.5	0.817558746736292
92	45.3.col1.row2.jpeg	45	3	col1	row2	45.3	1532	0.0600522193211488	210.5	0.137402088772846
242	45.3.col1.row3.jpeg	45	3	col1	row3	45.3	1532	0.157963446475196	634.5	0.414164490861619
719	45.3.col2.row1.jpeg	45	3	col2	row1	45.3	1532	0.469321148825065	1291	0.842689295039164
193	45.3.col2.row2.jpeg	45	3	col2	row2	45.3	1532	0.12597911227154	369.5	0.241187989556136
0	45.3.col2.row3.jpeg	45	3	col2	row3	45.3	1532	0	0	0
649	45.3.col3.row1.jpeg	45	3	col3	row1	45.3	1532	0.423629242819843	1025	0.669060052219321
1571	45.3.col3.row2.jpeg	45	3	col3	row2	45.3	1532	1.02545691906005	3808	2.48563968668407
552	45.3.col3.row3.jpeg	45	3	col3	row3	45.3	1532	0.360313315926893	846	0.552219321148825
659	45.3.col4.row1.jpeg	45	3	col4	row1	45.3	1532	0.430156657963446	1137.5	0.742493472584856
0	45.3.col4.row2.jpeg	45	3	col4	row2	45.3	1532	0	0	0
577	45.3.col4.row3.jpeg	45	3	col4	row3	45.3	1532	0.376631853785901	1276	0.83289817232376
1185	45.4.col1.row1.jpeg	45	4	col1	row1	45.4	1562	0.758642765685019	1998	1.27912932138284
0	45.4.col1.row2.jpeg	45	4	col1	row2	45.4	1562	0	0	0
2153	45.4.col1.row3.jpeg	45	4	col1	row3	45.4	1562	1.37836107554417	4807	3.07746478873239
0	45.4.col2.row1.jpeg	45	4	col2	row1	45.4	1562	0	0	0
921	45.4.col2.row2.jpeg	45	4	col2	row2	45.4	1562	0.589628681177977	1728.5	1.10659411011524
0	45.4.col2.row3.jpeg	45	4	col2	row3	45.4	1562	0	0	0
141	45.4.col3.row1.jpeg	45	4	col3	row1	45.4	1562	0.0902688860435339	493.5	0.315941101152369
24	45.4.col3.row2.jpeg	45	4	col3	row2	45.4	1562	0.0153649167733675	131	0.0838668373879641
9	45.4.col3.row3.jpeg	45	4	col3	row3	45.4	1562	0.0057618437900128	41.5	0.0265685019206146
132	45.4.col4.row1.jpeg	45	4	col4	row1	45.4	1562	0.0845070422535211	331	0.21190781049936
406	45.4.col4.row2.jpeg	45	4	col4	row2	45.4	1562	0.259923175416133	1049	0.67157490396927
119	45.4.col4.row3.jpeg	45	4	col4	row3	45.4	1562	0.0761843790012804	319.5	0.204545454545455
180	50.1.col1.row1.jpeg	50	1	col1	row1	50.1	1540	0.116883116883117	445.5	0.289285714285714
2330	50.1.col1.row2.jpeg	50	1	col1	row2	50.1	1540	1.51298701298701	4263	2.76818181818182
4	50.1.col1.row3.jpeg	50	1	col1	row3	50.1	1540	0.0025974025974026	2	0.0012987012987013
792	50.1.col2.row1.jpeg	50	1	col2	row1	50.1	1540	0.514285714285714	1514	0.983116883116883
68	50.1.col2.row2.jpeg	50	1	col2	row2	50.1	1540	0.0441558441558442	161.5	0.10487012987013
85	50.1.col2.row3.jpeg	50	1	col2	row3	50.1	1540	0.0551948051948052	225	0.146103896103896
1263	50.1.col3.row1.jpeg	50	1	col3	row1	50.1	1540	0.82012987012987	2210	1.43506493506494
956	50.1.col3.row2.jpeg	50	1	col3	row2	50.1	1540	0.620779220779221	1403	0.911038961038961
0	50.1.col3.row3.jpeg	50	1	col3	row3	50.1	1540	0	0	0
14	50.1.col4.row1.jpeg	50	1	col4	row1	50.1	1540	0.00909090909090909	21.5	0.013961038961039
1206	50.1.col4.row2.jpeg	50	1	col4	row2	50.1	1540	0.783116883116883	2101	1.36428571428571
1580	50.1.col4.row3.jpeg	50	1	col4	row3	50.1	1540	1.02597402597403	2727.5	1.7711038961039
2892	50.2.col1.row1.jpeg	50	2	col1	row1	50.2	1557	1.85741811175337	5496.5	3.53018625561978
2393	50.2.col1.row2.jpeg	50	2	col1	row2	50.2	1557	1.53692999357739	4500.5	2.89049454078356
1316	50.2.col1.row3.jpeg	50	2	col1	row3	50.2	1557	0.845215157353886	2394.5	1.53789338471419
3189	50.2.col2.row1.jpeg	50	2	col2	row1	50.2	1557	2.04816955684008	5609	3.6024405908799
3	50.2.col2.row2.jpeg	50	2	col2	row2	50.2	1557	0.00192678227360308	32.5	0.0208734746307001
0	50.2.col2.row3.jpeg	50	2	col2	row3	50.2	1557	0	0	0
1895	50.2.col3.row1.jpeg	50	2	col3	row1	50.2	1557	1.21708413615928	3450	2.21579961464355
1979	50.2.col3.row2.jpeg	50	2	col3	row2	50.2	1557	1.27103403982017	3738	2.40077071290944
1549	50.2.col3.row3.jpeg	50	2	col3	row3	50.2	1557	0.994861913937058	2800	1.79833012202954
202	50.2.col4.row1.jpeg	50	2	col4	row1	50.2	1557	0.129736673089274	459.5	0.295118818240206
73	50.2.col4.row2.jpeg	50	2	col4	row2	50.2	1557	0.0468850353243417	126	0.0809248554913295
0	50.2.col4.row3.jpeg	50	2	col4	row3	50.2	1557	0	0	0
0	50.3.col1.row1.jpeg	50	3	col1	row1	50.3	1541	0	0	0
319	50.3.col1.row2.jpeg	50	3	col1	row2	50.3	1541	0.207008436080467	805.5	0.522712524334847
2422	50.3.col1.row3.jpeg	50	3	col1	row3	50.3	1541	1.57170668397145	4730	3.06943543153796
0	50.3.col2.row1.jpeg	50	3	col2	row1	50.3	1541	0	0	0
0	50.3.col2.row2.jpeg	50	3	col2	row2	50.3	1541	0	0	0
2355	50.3.col2.row3.jpeg	50	3	col2	row3	50.3	1541	1.52822842310188	4463	2.89617131732641
369	50.3.col3.row1.jpeg	50	3	col3	row1	50.3	1541	0.239454899415964	705.5	0.457819597663855
766	50.3.col3.row2.jpeg	50	3	col3	row2	50.3	1541	0.497079818299805	1427.5	0.926346528228423
2213	50.3.col3.row3.jpeg	50	3	col3	row3	50.3	1541	1.43608046722907	3486	2.26216742375081
1100	50.3.col4.row1.jpeg	50	3	col4	row1	50.3	1541	0.713822193380921	1992	1.29266709928618
0	50.3.col4.row2.jpeg	50	3	col4	row2	50.3	1541	0	0	0
158	50.3.col4.row3.jpeg	50	3	col4	row3	50.3	1541	0.102530824140169	243	0.157689811810513
0	50+451.1.col1.row1.jpeg	50+451	1	col1	row1	50+451.1	1565	0	0	0
1011	50+451.1.col1.row2.jpeg	50+451	1	col1	row2	50+451.1	1565	0.646006389776358	1627.5	1.03993610223642
0	50+451.1.col1.row3.jpeg	50+451	1	col1	row3	50+451.1	1565	0	0	0
886	50+451.1.col2.row1.jpeg	50+451	1	col2	row1	50+451.1	1565	0.566134185303514	1749.5	1.11789137380192
1627	50+451.1.col2.row2.jpeg	50+451	1	col2	row2	50+451.1	1565	1.03961661341853	3221	2.05814696485623
