green	filename	Strain	Plate	Col	Row	PlateID
96	362.1.col4.row3.jpeg	362	1	col4	row3	362.1
136	362.2.col1.row1.jpeg	362	2	col1	row1	362.2
144	362.2.col1.row2.jpeg	362	2	col1	row2	362.2
147	362.2.col1.row3.jpeg	362	2	col1	row3	362.2
132	362.2.col2.row1.jpeg	362	2	col2	row1	362.2
142	362.2.col2.row2.jpeg	362	2	col2	row2	362.2
154	362.2.col2.row3.jpeg	362	2	col2	row3	362.2
NA	362.2.col3.row1.jpeg	362	2	col3	row1	362.2
144	362.2.col3.row2.jpeg	362	2	col3	row2	362.2
NA	362.2.col3.row3.jpeg	362	2	col3	row3	362.2
138	362.2.col4.row1.jpeg	362	2	col4	row1	362.2
139	362.2.col4.row2.jpeg	362	2	col4	row2	362.2
NA	362.2.col4.row3.jpeg	362	2	col4	row3	362.2
146	362.3B.col1.row1.jpeg	362	3B	col1	row1	362.3B
144	362.3B.col1.row2.jpeg	362	3B	col1	row2	362.3B
139	362.3B.col1.row3.jpeg	362	3B	col1	row3	362.3B
145	362.3B.col2.row1.jpeg	362	3B	col2	row1	362.3B
NA	362.3B.col2.row2.jpeg	362	3B	col2	row2	362.3B
136	362.3B.col2.row3.jpeg	362	3B	col2	row3	362.3B
141	362.3B.col3.row1.jpeg	362	3B	col3	row1	362.3B
139	362.3B.col3.row2.jpeg	362	3B	col3	row2	362.3B
139	362.3B.col3.row3.jpeg	362	3B	col3	row3	362.3B
147	362.3B.col4.row1.jpeg	362	3B	col4	row1	362.3B
140	362.3B.col4.row2.jpeg	362	3B	col4	row2	362.3B
132	362.3B.col4.row3.jpeg	362	3B	col4	row3	362.3B
150	362.3.col1.row1.jpeg	362	3	col1	row1	362.3
147	362.3.col1.row2.jpeg	362	3	col1	row2	362.3
142	362.3.col1.row3.jpeg	362	3	col1	row3	362.3
148	362.3.col2.row1.jpeg	362	3	col2	row1	362.3
NA	362.3.col2.row2.jpeg	362	3	col2	row2	362.3
137	362.3.col2.row3.jpeg	362	3	col2	row3	362.3
143	362.3.col3.row1.jpeg	362	3	col3	row1	362.3
141	362.3.col3.row2.jpeg	362	3	col3	row2	362.3
141	362.3.col3.row3.jpeg	362	3	col3	row3	362.3
151	362.3.col4.row1.jpeg	362	3	col4	row1	362.3
141.5	362.3.col4.row2.jpeg	362	3	col4	row2	362.3
