npixels	filename	Strain	Plate	Col	Row	PlateID	Sticker.size	Normalized.size	Hull.area	Normalized.hull.area
502	231.1.col1.row3.jpeg	231	1	col1	row3	231.1	1561	0.321588725176169	972.5	0.622998078155029
96	231.1.col2.row1.jpeg	231	1	col2	row1	231.1	1561	0.0614990390775144	305	0.195387572069186
201	231.1.col2.row2.jpeg	231	1	col2	row2	231.1	1561	0.128763613068546	480.5	0.307815502882767
2168	231.1.col2.row3.jpeg	231	1	col2	row3	231.1	1561	1.3888532991672	4145.5	2.65566944266496
1232	231.1.col3.row1.jpeg	231	1	col3	row1	231.1	1561	0.789237668161435	2330.5	1.4929532351057
1311	231.1.col3.row2.jpeg	231	1	col3	row2	231.1	1561	0.839846252402306	3008.5	1.92729019859065
67	231.1.col3.row3.jpeg	231	1	col3	row3	231.1	1561	0.0429212043561819	163	0.104420243433696
0	231.1.col4.row1.jpeg	231	1	col4	row1	231.1	1561	0	0	0
2991	231.1.col4.row2.jpeg	231	1	col4	row2	231.1	1561	1.91607943625881	5913.5	3.78827674567585
0	231.1.col4.row3.jpeg	231	1	col4	row3	231.1	1561	0	0	0
1928	231.2B.col1.row1.jpeg	231	2B	col1	row1	231.2B	1508	1.27851458885942	3936.5	2.61041114058355
2588	231.2B.col1.row2.jpeg	231	2B	col1	row2	231.2B	1508	1.71618037135279	4814.5	3.19263925729443
0	231.2B.col1.row3.jpeg	231	2B	col1	row3	231.2B	1508	0	0	0
2465	231.2B.col2.row1.jpeg	231	2B	col2	row1	231.2B	1508	1.63461538461538	4468	2.96286472148541
1035	231.2B.col2.row2.jpeg	231	2B	col2	row2	231.2B	1508	0.686339522546419	2087.5	1.38428381962865
667	231.2B.col2.row3.jpeg	231	2B	col2	row3	231.2B	1508	0.442307692307692	1149.5	0.762267904509284
1	231.2B.col3.row1.jpeg	231	2B	col3	row1	231.2B	1508	0.000663129973474801	7.5	0.00497347480106101
1432	231.2B.col3.row2.jpeg	231	2B	col3	row2	231.2B	1508	0.949602122015915	3019.5	2.00232095490716
1918	231.2B.col3.row3.jpeg	231	2B	col3	row3	231.2B	1508	1.27188328912467	4029.5	2.67208222811671
33	231.2B.col4.row1.jpeg	231	2B	col4	row1	231.2B	1508	0.0218832891246684	84.5	0.0560344827586207
117	231.2B.col4.row2.jpeg	231	2B	col4	row2	231.2B	1508	0.0775862068965517	245.5	0.162798408488064
1	231.2B.col4.row3.jpeg	231	2B	col4	row3	231.2B	1508	0.000663129973474801	0	0
2083	231.2.col1.row1.jpeg	231	2	col1	row1	231.2	1502	1.38681757656458	3879	2.58255659121172
2600	231.2.col1.row2.jpeg	231	2	col1	row2	231.2	1502	1.73102529960053	5003.5	3.33122503328895
0	231.2.col1.row3.jpeg	231	2	col1	row3	231.2	1502	0	0	0
2536	231.2.col2.row1.jpeg	231	2	col2	row1	231.2	1502	1.6884154460719	4555.5	3.03295605858855
1111	231.2.col2.row2.jpeg	231	2	col2	row2	231.2	1502	0.739680426098535	2130.5	1.41844207723036
711	231.2.col2.row3.jpeg	231	2	col2	row3	231.2	1502	0.473368841544607	1089	0.725033288948069
13	231.2.col3.row1.jpeg	231	2	col3	row1	231.2	1502	0.00865512649800266	100.5	0.0669107856191744
1620	231.2.col3.row2.jpeg	231	2	col3	row2	231.2	1502	1.07856191744341	2999	1.99667110519308
2059	231.2.col3.row3.jpeg	231	2	col3	row3	231.2	1502	1.37083888149134	3831	2.55059920106525
50	231.2.col4.row1.jpeg	231	2	col4	row1	231.2	1502	0.033288948069241	228.5	0.152130492676431
153	231.2.col4.row2.jpeg	231	2	col4	row2	231.2	1502	0.101864181091877	443	0.294940079893475
2	231.2.col4.row3.jpeg	231	2	col4	row3	231.2	1502	0.00133155792276964	37.5	0.0249667110519308
491	231.3.col1.row1.jpeg	231	3	col1	row1	231.3	1580	0.310759493670886	1293	0.818354430379747
0	231.3.col1.row2.jpeg	231	3	col1	row2	231.3	1580	0	0	0
0	231.3.col1.row3.jpeg	231	3	col1	row3	231.3	1580	0	0	0
380	231.3.col2.row1.jpeg	231	3	col2	row1	231.3	1580	0.240506329113924	852	0.539240506329114
29	231.3.col2.row2.jpeg	231	3	col2	row2	231.3	1580	0.0183544303797468	21	0.0132911392405063
2076	231.3.col2.row3.jpeg	231	3	col2	row3	231.3	1580	1.31392405063291	4163.5	2.63512658227848
0	231.3.col3.row1.jpeg	231	3	col3	row1	231.3	1580	0	0	0
49	231.3.col3.row2.jpeg	231	3	col3	row2	231.3	1580	0.0310126582278481	152	0.0962025316455696
49	231.3.col3.row3.jpeg	231	3	col3	row3	231.3	1580	0.0310126582278481	71	0.0449367088607595
48	231.3.col4.row1.jpeg	231	3	col4	row1	231.3	1580	0.030379746835443	202	0.127848101265823
194	231.3.col4.row2.jpeg	231	3	col4	row2	231.3	1580	0.122784810126582	632	0.4
1637	231.3.col4.row3.jpeg	231	3	col4	row3	231.3	1580	1.03607594936709	3320	2.10126582278481
3	231.4.col1.row1.jpeg	231	4	col1	row1	231.4	1579	0.00189993666877771	43.5	0.0275490816972768
1483	231.4.col1.row2.jpeg	231	4	col1	row2	231.4	1579	0.939202026599113	2927	1.85370487650412
1653	231.4.col1.row3.jpeg	231	4	col1	row3	231.4	1579	1.04686510449652	3316	2.10006333122229
131	231.4.col2.row1.jpeg	231	4	col2	row1	231.4	1579	0.0829639012032932	400.5	0.253641545281824
288	231.4.col2.row2.jpeg	231	4	col2	row2	231.4	1579	0.18239392020266	977.5	0.61906269791007
52	231.4.col2.row3.jpeg	231	4	col2	row3	231.4	1579	0.0329322355921469	69	0.0436985433818873
0	231.4.col3.row1.jpeg	231	4	col3	row1	231.4	1579	0	0	0
801	231.4.col3.row2.jpeg	231	4	col3	row2	231.4	1579	0.507283090563648	1357	0.85940468651045
2	231.4.col3.row3.jpeg	231	4	col3	row3	231.4	1579	0.0012666244458518	13.5	0.00854971500949968
400	231.4.col4.row1.jpeg	231	4	col4	row1	231.4	1579	0.253324889170361	843	0.533882203926536
2527	231.4.col4.row2.jpeg	231	4	col4	row2	231.4	1579	1.60037998733376	4619.5	2.92558581380621
665	231.4.col4.row3.jpeg	231	4	col4	row3	231.4	1579	0.421152628245725	1297	0.821405953134896
1388	362.1.col1.row1.jpeg	362	1	col1	row1	362.1	1556	0.892030848329049	3273	2.10347043701799
667	362.1.col1.row2.jpeg	362	1	col1	row2	362.1	1556	0.42866323907455	1414.5	0.909061696658098
713	362.1.col1.row3.jpeg	362	1	col1	row3	362.1	1556	0.458226221079692	1498.5	0.963046272493573
0	362.1.col2.row1.jpeg	362	1	col2	row1	362.1	1556	0	0	0
0	362.1.col2.row2.jpeg	362	1	col2	row2	362.1	1556	0	0	0
326	362.1.col2.row3.jpeg	362	1	col2	row3	362.1	1556	0.209511568123393	932	0.598971722365039
465	362.1.col3.row1.jpeg	362	1	col3	row1	362.1	1556	0.298843187660668	956.5	0.614717223650386
1338	362.1.col3.row2.jpeg	362	1	col3	row2	362.1	1556	0.859897172236504	3074	1.97557840616967
1710	362.1.col3.row3.jpeg	362	1	col3	row3	362.1	1556	1.09897172236504	3835	2.4646529562982
0	362.1.col4.row1.jpeg	362	1	col4	row1	362.1	1556	0	0	0
1260	362.1.col4.row2.jpeg	362	1	col4	row2	362.1	1556	0.809768637532134	2393.5	1.53823907455013
45	362.1.col4.row3.jpeg	362	1	col4	row3	362.1	1556	0.0289203084832905	172	0.110539845758355
