Phenotype	Strain	Coefficient	p.value	q.value
lightness	X106	1.53369063692916	0.150518393000815	0.926706011703861
lightness	X107	0.76960152423659	0.506985047813732	0.952649346208572
lightness	X11	0.726350778297206	0.542342620543332	0.952649346208572
lightness	X123	-0.629222103489822	0.4597838279089	0.952649346208572
lightness	X125	-1.63300037293806	0.0667510818157487	0.926706011703861
lightness	X135	0.590451706224446	0.632721391543966	0.952649346208572
lightness	X140	1.45711475393137	0.466128990802251	0.952649346208572
lightness	X161	0.979024906188366	0.372732893057741	0.926706011703861
lightness	X162	-0.723075442174004	0.384670419952546	0.926706011703861
lightness	X2	0.559400869459722	0.639177844152201	0.952649346208572
lightness	X20	-1.38128203974502	0.120066244330457	0.926706011703861
lightness	X217	-0.8882227557966	0.308420994656174	0.926706011703861
lightness	X22	1.41892274656683	0.210827226788357	0.926706011703861
lightness	X224	0.466425922114272	0.721379182493454	0.952649346208572
lightness	X23	-0.754882163170338	0.356968258158404	0.926706011703861
lightness	X231	-0.869115686162849	0.304915432057369	0.926706011703861
lightness	X26	0.307754207119723	0.8437796522144	0.952649346208572
lightness	X27	-0.734095581674223	0.381031586873476	0.926706011703861
lightness	X299	-0.838599713704844	0.331723672064588	0.926706011703861
lightness	X3	-0.0252864805107457	0.884544863553438	0.952649346208572
lightness	X303	0.860709364378746	0.531552285720332	0.952649346208572
lightness	X31	-0.0258929036712321	0.885488734956973	0.952649346208572
lightness	X33	1.67963573626906	0.119995481691521	0.926706011703861
lightness	X35	0.110937294371077	0.994890203441574	0.994890203441574
lightness	X351	0.0128653908897981	0.916700314276173	0.952649346208572
lightness	X36	-0.291110341904263	0.678285777557351	0.952649346208572
lightness	X362	-0.906903341879111	0.302242058515208	0.926706011703861
lightness	X376	0.473297398669504	0.708658518718181	0.952649346208572
lightness	X384	-0.829946137491641	0.318029576224526	0.926706011703861
lightness	X40	0.275348053375223	0.872846524050986	0.952649346208572
lightness	X41	0.61259195101592	0.606048532200989	0.952649346208572
lightness	X45	1.72645462380879	0.105693101316878	0.926706011703861
lightness	X49	-0.714977581580077	0.377187292612537	0.926706011703861
lightness	X50	-2.05053330225941	0.0278165087798404	0.926706011703861
lightness	X51	1.32510005396748	0.229657340373176	0.926706011703861
lightness	X57	-0.429483682525821	0.772798155780327	0.952649346208572
lightness	X72	-0.444475773271799	0.668579779567771	0.952649346208572
lightness	X8	-0.196477802625268	0.749216163671836	0.952649346208572
lightness	X95	0.166129917531512	0.958780365191194	0.977218449137178
lightness	CL11	-0.560759355316317	0.492488035597842	0.952649346208572
lightness	CL18	-1.8275136042558	0.140018644445406	0.926706011703861
lightness	CL21	0.574614027685054	0.644286735356455	0.952649346208572
lightness	CL41	0.753540183099215	0.556421072225926	0.952649346208572
lightness	CL52	0.330202811584913	0.834445723209632	0.952649346208572
lightness	CL58	-0.0643077186700467	0.851103232479165	0.952649346208572
lightness	CL73	2.00482348056621	0.0608030879525307	0.926706011703861
lightness	X363	1.02233085589228	0.4230478306492	0.952649346208572
lightness	X79	0.25903206336922	0.903108834973873	0.952649346208572
lightness	X9	-0.557844166376743	0.558418362483762	0.952649346208572
lightness	CL72	-0.367309305405678	0.723682738350369	0.952649346208572
lightness	X451	-2.5429179970421	0.173531003503917	0.926706011703861
green.magenta	X10	0.277207314972225	0.609824821759032	0.854182824013042
green.magenta	X105	-0.197667518135436	0.931994469125082	0.96854327183587
green.magenta	X106	-0.27753267132955	0.849665717458285	0.919026184189573
green.magenta	X107	-0.458462778274626	0.671380008428093	0.854182824013042
green.magenta	X11	-0.900548479885447	0.327358299178178	0.786885556986304
green.magenta	X123	2.02108247759913	0.00671395854308214	0.177919901391677
green.magenta	X125	0.786937099408304	0.221182969447255	0.739638921027929
green.magenta	X135	-0.715074824303252	0.452573501497539	0.799546519312319
green.magenta	X140	1.72318349241231	0.198639163380959	0.739638921027929
green.magenta	X161	-0.773630400900938	0.39764178651024	0.786885556986304
green.magenta	X162	-0.228839188807732	0.897297451133222	0.951135298201215
green.magenta	X2	0.177942516171589	0.676899596387694	0.854182824013042
green.magenta	X20	1.08451831565864	0.108690210515671	0.693723765280293
green.magenta	X217	-0.401383395605479	0.727230164331834	0.875981788854254
green.magenta	X22	-1.24621915963566	0.172553692996824	0.739638921027929
green.magenta	X224	0.594605309540046	0.345748031340978	0.786885556986304
green.magenta	X23	-0.475333252322137	0.643289088639526	0.854182824013042
green.magenta	X231	-0.55592455445143	0.57364254802992	0.854182824013042
green.magenta	X26	-0.49580612833739	0.630818723745945	0.854182824013042
green.magenta	X27	0.0730154674518022	0.789634417731413	0.890438811484359
green.magenta	X299	0.500461672709153	0.414717840870972	0.786885556986304
green.magenta	X3	0.0858798141457735	0.778945354590007	0.890438811484359
green.magenta	X303	-1.23372905267024	0.237242672782543	0.739638921027929
green.magenta	X31	0.60092608512929	0.349352826119731	0.786885556986304
green.magenta	X33	-0.857083730698525	0.357741950267493	0.786885556986304
green.magenta	X35	0.378210018204859	0.515134057673415	0.827336516869424
green.magenta	X351	1.07121729337379	0.125590646673441	0.693723765280293
green.magenta	X36	0.115065825712948	0.750783401112732	0.884256005754996
green.magenta	X362	1.62239253248473	0.0246438562826193	0.435374794326274
green.magenta	X376	-1.41116773851811	0.0873165288821577	0.693723765280293
green.magenta	X384	1.08329540834776	0.103414899211154	0.693723765280293
green.magenta	X40	-0.15097268613567	0.979218248144872	0.987134202261013
green.magenta	X41	-0.396595943875552	0.724801243503356	0.875981788854254
green.magenta	X45	-1.3115855202126	0.13089127646798	0.693723765280293
green.magenta	X49	-0.142704071464277	0.987134202261013	0.987134202261013
green.magenta	X50	0.68032214910787	0.294688783129233	0.780925275292469
green.magenta	X51	-1.09374281373915	0.22298746258204	0.739638921027929
green.magenta	X57	-1.79482928096069	0.26276157629665	0.773686863540136
green.magenta	X72	0.368497505436738	0.628137837678186	0.854182824013042
green.magenta	X8	1.28552296293016	0.0664200508673046	0.693723765280293
green.magenta	X95	0.487804716901059	0.404798651860764	0.786885556986304
green.magenta	CL11	0.355011549129628	0.531593982002519	0.828661207239221
green.magenta	CL18	1.2379100414046	0.186004371198962	0.739638921027929
